File,Pests,Severity_Index,Spray_Intensity_PWM,Action
14.jpg,1277,0.69,72.1%,ON (Intensity: 72.1%)
16.jpg,1068,0.61,65.3%,ON (Intensity: 65.3%)
l1.jpg,51,0.69,72.1%,ON (Intensity: 72.1%)
l2.jpg,1885,0.83,84.7%,ON (Intensity: 84.7%)
l4.jpg,100,0.88,89.4%,ON (Intensity: 89.4%)
l5.jpg,1202,0.74,77.1%,ON (Intensity: 77.1%)
